album_id,album_popularity,release_date
6lr1FKQjhbXOxzGOB9BPso,41,2017-05-19
55giSYDPLHVdEu6YA6PERj,43,2016-08-05
6Btf5qRQjRvQKPGFUAstvg,37,2015-02-17
1907F3tAFEAdpsQIgAYNzJ,37,2016-01-15
7nQdWTt5kiJUrIuWToAEhy,31,2014-09-02
14Q6NvjUSthc0Xgb5EgtQd,41,2015-09-18
7t35JHjhNRPMZ3eZHuDeba,44,2017-09-07
1DDrkcadagSRpaqQDKVf2O,39,2016-10-07
2BEVr9m3tAWLnjCT8DkUH6,30,2016-08-05
1641fgZDiBN7e5yRuNmQ6M,31,2010-06-04
1Bo3QIkCyr0AErUw4BHl1h,47,2017-06-22
3rgqNhTgwBROjLHhIzeq35,37,2014-08-18
138KhEzlJAoHKpSedlDC8A,46,2014-12-01
5HNyHXa6z20pWDod3JyLXo,33,2010-01-01
5DPZqC3ySZkJClCvZlIq6K,36,2017-09-22
0jfS1hSeYXgAhKPbRSe3UI,37,2013-01-01
5S0nsfYhHa1uz10V4yoWSL,57,2011-03-18
23Kf2cl3kz7pFNKhl4iMp9,37,2010-08-20
4SZCV3d0kgIEnLatUoY0Jj,42,2013-01-29
3AhqN3WcKmO27acMgjLIse,31,2013-12-10
4Jh3PDPicP3QwWpktQS7Yh,50,2012-02-21
6f5gAJpM85TE6aQ81h46T5,51,2015-02-04
0hHoUwwrXL79lSEcRy82vO,35,2015-06-16
375cUd86z58eqXN2yW3Do9,68,2015-02-10
4nka5RtqtC17gwfl4bjFs8,45,2015-09-10
1vtmvP6HpYWljDR2vplT3b,34,2010-01-01
46C0FxiHJ5whkGbCRqtkhR,31,2012-10-28
0CL4Zsk4SKMXvLQKa41BOv,43,2015-02-27
7rf1qZJ6hGSlPN7K9ShsVV,50,2014-03-14
5sG9v1V0gjNbQQiXkYKWe0,68,2015-08-21
0F2bhCbSbjdWW8UYJuonwQ,30,2013-08-04
0yTb8Dx1eVe0pO8N8cAEjA,38,2017-07-21
481L9QkG0QiHGYBkDzqqsz,32,2014-09-30
3wZCydFnWWZhm5osBdul0s,46,2017-11-10
7xconhHQKj7Be4P2KvUmFz,66,2017-04-29
4PNP7ZIyQbAGvZCxb0UUKS,41,2016-10-10
60tzyfHtJFQxHBS4So4t8J,39,2017-10-26
15EU4ZbtuJ6inaJ22eIgsR,41,2016-10-28
3TumIACV4GijQrW1sSUqax,42,2015-05-26
6JF49ixyHmOgS0Rsda2k42,43,2014-01-28
4Z1BFX1oBckY8bhGEWMYmi,31,2011-04-11
00Qd4Edo3V93cw1XVW7w0a,30,2016-10-24
4LugYm5uqTDMMRcBIaLmk4,34,2017-06-05
0w1Dc9DMcJ8Qon4n3wv1wu,43,2015-06-25
6oMmXUdZ9gO71JRzLaozEg,34,2012-08-01
6zhjig78tafXcTTZmjO752,34,2013-10-22
5Y3yGPqEZkTOCYNPQfzBae,32,2015-04-14
330b5MZdlUJcPOkei9G4KM,42,2013-08-23
1CJfIUEL6uQpb65gtf2S4r,44,2010-10-02
6ihcqLTsLBYoDIZa3GYWIT,32,2015-04-09
7I6ulIzRMJ8Bmz5rFBAvpA,30,2010
3E6oI3wPP1zoAdlZKd4XV1,30,2011-07-15
3Hxm4wa8a3E9PgDOrFbIVO,41,2016-02-26
6mueTLPXfvXjl61ymHHwY8,30,2015-12-18
6SVh07Vs5797CLKJi2V7GV,30,2014-10-24
3ndNRADRjVwE5PSt7rHDCr,30,2015-01-16
5McOkriDdgEIOCuVRCZj5Y,30,2014-07-15
19OgQG7EqDdFfjPktRfmrJ,31,2016-10-28
7wkXM76ufK3LkyTZe4og3K,33,2010-05-20
4ogRUCkV0T7cUpqVo23tdl,30,2015-07-15
1cAH6swM8Y4K9tb7IufAWf,35,2015-09-14
0LVMI64BPt0IRrDd1XuWkG,62,2016-07-01
07wltijiEhx6hNp2MBxXIx,38,2012-12-15
38Ctq7b4mWnAeB1kzv8RRi,31,2012-10-16
3L6MNK8g8qJD99P6nyTgFI,44,2011-02-15
4E7RXXUaKpkquRTcVUvdAg,50,2017-09-08
2GFFxj8aR2XpwIMYanOPjh,39,2013-06-07
3Od3V0cItGMoU4F1z708Kz,34,2014-11-21
0jJ7mMkCkTe7p9EJgSRxgi,48,2017-03-02
1xXd5qaAVRSFOTS9MarI8x,38,2017-02-13
1MZfu40bPBKw1HzXGyGoMX,35,2015-10-16
3ruxxNJfKwSeghjqG6JL3y,42,2016-12-16
0LRiNBRKWlEcjo7v1Jqrqy,34,2016-09-27
6yALf97g5ssJkYmNXmr2nP,36,2016-04-04
4sdSnaf5mEJNY4E4MhiJd3,35,2012-09-18
2dVf3FNLJqsMCA4ePrTuH5,36,2012-10-16
2ybC8wJprmJBBbZHJtzGJr,37,2017-06-16
627ukPRwYxyBREHxBq0vGJ,33,2010-09-07
6RBelqaaCNgju5bBcrCgL4,30,2017-05-14
4b1DzrFBADJR0vBQDAb31a,35,2017-10-06
03B7yRw8C4i7Vuxxjy8RJw,31,2016-10-14
4eZL2PZL6UiFWrj6JAVTLJ,37,2016-07-29
01gL0htCaJtIH0yLHXlOZk,40,2012-03-23
2tJoaDnwr0xWHD4OriSNtB,30,2013-01-01
3gfTj1Dq87IiiyPOviWepH,39,2013-08-22
5DffkNIj1x6iyv68I4SHZZ,38,2017-09-24
6397JRE7OBuGKj95VW4x3A,36,2013-01-01
7pMZdJ7PdJUG18pNLZkWg5,38,2013-06-10
4qC2Pa4OqHVRpAgsGtx3C3,48,2016-09-02
0baCV1ycOZAUna4N7tgVNF,34,2017-05-29
4MFQ4cQbhnT13OIpDlLtCS,31,2015-09-18
1ylysR6fqyNNJmuuyCIf5C,47,2016-11-07
0Dvdd8C1sQ7g9wDsNJ0bWM,36,2016-06-10
5JImxehtOINJnpAEIVGbJi,43,2010-01-04
4r2Ilq5eSSqRc2vCuIKhqf,39,2010-03-15
0dE86L3lCP52MRnPjUOTtf,38,2013-07-16
7LFFQrgPPbPzS6Q61Y3o4F,50,2015-07-14
54pBp6QcdpNiYS1yyauiq8,33,2010-03-10
438AFMs8tB78Ozhgl271oE,34,2012-11-23
4OlBdxJk11pocUhQgea29k,31,2016-05-27
2xBl7O1jFtgvpTjGmaCWrl,39,2012-02-21
1O5yVcAI0FSlvGmRma3HRn,37,2015-12-24
0QekZvOLUvdbQpgwHEi10K,32,2010-07-02
2I3VsdqjeA0kfH5n3Hmluy,30,2017-08-14
76Q9lpHE2vxtyCSrvyaI1a,38,2017-10-27
5df6wkyFKg4dhAVjp6EDfx,34,2017-10-13
3fx0uSwugGOVBKjzAi1Akz,46,2014-11-19
5rppItHQQrcpGrGZ9WkGTn,41,2013-01-02
0N8ZuxurFs5C4fsC1z7wRK,58,2014-06-17
22XlTgyhVbZZPzPLmrBS87,37,2017-01-09
1rfmcUZ1RuSOja3WgTSvWU,33,2012-06-14
2Vq0Y8wgiZRYtZ1mQ7zOMG,48,2011-06-21
33TGRUxbbrWJpy1JF6jwkK,39,2014-11-18
3ZVd3NRBCMZojG8NnLaDYn,38,2012-12-10
7lZs5r4oQV2nutddffLrg0,36,2013-01-01
6965Xyu4KF6qH1tWivfWWH,30,2011-08-16
4nLlRgyqjrPZ03ncQy9E3O,30,2015-03-19
42WVQWuf1teDysXiOupIZt,60,2016-09-16
4NTdUxS1Zb6eQNF8qZlXmK,35,2017-08-02
4VRIpRxvAMvewEHzy2GCtc,34,2017-03-10
1NRL1bvYepbDkrao0zax15,47,2017-06-20
3zwsH959hsbzTH5tUOXnex,49,2017-11-24
1mWCAdn4pHhjEHl9yVY796,46,2017-03-17
1MuenT1cvvI0YCs3hsJDBE,35,2015-06-01
0TyIuRUSHgj0JLsMeosAZl,31,2015-05-18
0FtHgMc1DxDAhfxlJXlFI2,40,2014-01-21
1cUoe6ue8VjCrGbYiBLOP3,52,2013-01-11
3sNdlMfnm2T4HR1XJm58I0,41,2014-10-15
010cogYVCU9Fu3jrDAJ6WO,53,2013-01-01
5Jp5SxdlZ0nyFtj1YEms0p,44,2015-08-31
0AoPcGhCHaz9K96DoJoKlu,67,2016-02-15
25uC3BzETi50E1xFm05JcK,40,2016-10-14
21KrsFEPYoXmJRIj0UNtnq,49,2011-10-21
6JLS96rMyyFzQTlpNuRV51,35,2016-01-29
59cfAwh9YmVdC5jHJQc4yC,32,2015-01-08
6Ttnb4f8aPy7ytDJqV10FT,38,2014-01-31
6fJqp1I3UMz2DzCGSJpmrS,31,2017-02-03
6hS7HOlKbFa91PB2aYsNzY,39,2012-05-11
5LAynix4OVi4mnkEf3Kj7T,35,2014-07-15
3l5PdpQHvUOXlq1w9PftPu,35,2017-01-04
4eKcERinzmkm5m0QoyPbph,34,2012-07-02
11wsRyg0EtBSfAVSrw8jvw,30,2016-08-05
4auE3dgMJmfaMBsWUQ0hnS,41,2016-11-30
1olQuvonXXUEourYrj6daN,40,2013-01-01
60xPMD97KJfh5x6KBbHYs9,41,2016-08-26
5JblYQTb7RXHoqP9JQZK6L,36,2016-09-23
0I6Bl1dVB1hQsSoQF6KuTg,36,2013-01-01
1jamkW0fDJFlcF1wyAejsW,36,2017-09-22
3eDeKvz2ZHosFGIWzV7beh,46,2014-08-08
1PfEXmG8ioEwsj7qDaCQXc,38,2011-02-01
5t6JANuspt8XBIFDlbZYYq,47,2011-03-03
5eoOfLW71UCbeNNNzA9Pcm,40,2014-09-22
1bNyo0wjihTTBvkrMz3doQ,40,2015-07-17
5wpLXPi0E9LnjdmlPp34M5,32,2014-03-17
3QBQCycojhOJLYlHhaCgVm,31,2015-03-24
6GU6PmAOKYRsYVJTMlcjJr,34,2012-02-09
3aj4Tn2zV1RL2M4YPBkRmM,47,2013-08-03
0PcGLp9I02wkK8us1qxAz7,48,2013-07-22
2P7cQEwYCME7UZbHj2ud8o,39,2017-10-18
7CAAClnSiXdMibPT1oyl4k,38,2017-09-22
21wNeEaw7iFxDzvhHXEzcI,34,2016-03-18
5AF0uxDdW2IKi3r8jqVgmq,35,2016-03-04
0nW0w37lrQ87k7PLZvC4qJ,48,2015-12-18
0E7WDCvQ7MYR8CbVKSl0r7,37,2015-05-06
7u7AwfQwKB48dwEE9Tj6Ft,36,2016-04-22
06uu7YWT822ghZbDOG3wuW,38,2013-12-13
680w1GzAre2QubsW7KDni8,39,2016-01-14
1xnaoUqRiTA9580nxMKTxD,42,2015-11-13
3Rz6kF8eGqrDOEteo5YsBj,45,2017-06-16
60IQtcqUr3POV61wSh1W2G,31,2017-06-28
3q3DB4fElKDIDE2bXTLFlb,43,2010-04-20
6qGneMa56MnPHVARssZqXs,31,2014-10-07
4MYLm8Uxayy4UyqFHPHfBB,32,2015-12-04
2tDBFZ0M5cmmUyweIsOc8d,43,2014-11-25
5H0yFEG5FT0tccZRSdNvVU,57,2013-02-12
34dgJQwkHxUC75UIf6uovx,33,2017-09-22
79S9eRBE4zhXybavIRwAv0,44,2013-04-01
2fI8PsKYLPMt9Gv4NVrtjk,52,2016-08-19
3FlECovcp05TrA0Hs9zpug,30,2015-03-23
3pSeHrM0nMGkLYScQgaJdj,33,2016-09-30
36zJTya3TD3IX06lWmQIrF,44,2012
2RNvr92S3rufXeAYnHr8qY,36,2015-04-28
6ZCkrINGQhmMlK6ibFQnvw,43,2017-03-24
2KPhpTUihx9KRWRwBtpTeJ,36,2010
7wTfJAiEXjKzh5NCG8OCoI,30,2017-09-29
3yWeEEaC5xs7FgzwRgjm1p,59,2010
2wGH0a52lXF1C26ZxQ7F2R,40,2014-01-01
6d5DkpOtxu5FyXsqJ8aRVj,40,2014-08-06
2ATnlNdhTGBHX9SYn3UoL0,44,2012-09-18
0xbbsauKysPCTQDd38P2CW,64,2013-02-26
0EEujvb6ISZ0Gr8Tq4zCJp,49,2014-08-16
6MGvEl6OdTKKAbmBFjxOKQ,30,2015-01-20
1Tr1KkQi902R047il7vFUd,31,2010-12-28
3wXGFboFgcK9ezbPuSrKk9,55,2016-12-05
6w8Hg9eUPIcEZFyQcaMv56,39,2014-06-20
1XBTiJCFR4XFvymIUlnkKE,42,2016-03-11
5gsWgFeHRxRkIXGXWPiOIW,33,2016-07-29
4ChkiIHEDdGkzQrhtsQXEb,37,2011-11-14
5VL90afs1EsezktD44XMIN,61,2016-02-05
5FoxaIGIRuXsbhZhwdfknU,61,2014-01-01
7bpWEp24oHgUs08ImjakfU,34,2015-11-27
159cL7XcdoUldPCCy6JlfB,44,2014-08-25
0iV0wwjlM61uX6qbatoUxb,39,2017-06-30
4k8OFHeiAlbAZZfNQwGc1n,52,2016-01-08
5ktAYFq8wJ1hcWHaxl6AQf,55,2011-09-20
57Hqmz2tIvke4mWmJaXU80,37,2017-03-31
7syMmofF2t1xI0RFCtrSG9,49,2017-10-13
3u8UbYIIZkOtawXLDuu57l,35,2012-08-14
0OY480YYBT6oEuTQbxR3kK,35,2017-11-03
3A4mYFF7YY2mZsucLHdEzr,34,2017-06-07
6BmzjJPjWBVfTwbKMFdTUs,74,2013-01-01
5EA6zk0kC9aAd6WDZNhf62,33,2015
46tFpXz9wNooNqL3gnvLLI,30,2016-04-01
7m2Gzfu5nMgHTiMbNDwPr7,37,2015-01-09
4b1xXlme2q5EeIZXK9JHUp,47,2010
75jW2vL0IQJRlCtnuxx5PL,36,2013-03-22
4jZOIs53nuzokTJnyo7bu7,34,2014-09-24
3oylWMc9TTC6Nx4I6U3axc,49,2011-09-02
2pLC40gyEsQljWWBV3zA1T,41,2013-12-16
2UgN7kRBkFvaKSsXH1noCh,31,2016-02-29
74ce7TvmnTieNsiQyZIHv5,33,2015-10-07
0s9tY7YgGKtTxBuWPiJFFj,37,2015-09-23
56auT6DJUtUPDmUR7zTSHe,49,2017-06-16
48SrarUhE6csdPsGbTAgEl,34,2017-01-20
4geCevoFyJ8TvKJdNfSIRb,43,2016-09-02
24Nm4WqbpFrtAsgE5Ba3ab,42,2014-05-13
5kFTIMTuYcGh6daKFDHuaH,50,2012-08-03
4cARAECW98cS10AGV2CH8Z,33,2013-08-23
6NySuONTKK6mtLG0nF80Jr,33,2017-07-28
5Sdmly0VRVw0wIow5eMHAW,40,2016-12-09
53OWyAdaw1ih71BuVlqWRB,34,2017-06-02
1t9rzuEEFVHPdqRYzsaWC8,36,2012-12-11
2U2PILdwl2fi8COk6qX6E7,30,2010-10-26
6glHUYWR8paVp72N7xmBci,35,2014-09-09
76FXHQhTuT4QMIxfL09gX8,63,2012-10-09
2UpwKRTXhJVXvjZgK1h7RY,43,2014-09-22
2RZjnYKPbq206UdEbtTjJp,30,2013-03-12
4k8z58Kusk0HPlDVdcn6Xv,34,2017-05-09
4TxYVUplaWuhJrVmW1O5Zt,67,2016-11-16
6notdj85QIGeqR1zKqT3Oh,46,2015-01-01
3v34omJB3cIoQ68kdOKIII,31,2011-11-29
4PUFxNR729saTb49K0pQBK,30,2016-10-28
6wqTI8qqCvvDaczdTFHylC,30,2016-05-06
1afvfA3n5tSr99HOXyffl6,38,2011-04-05
6Xhb46t8f3z8FkuXQAj4UV,58,2016-07-29
1VGmEADYXBzJ8J269nR6qK,51,2014-05-19
4mPo1YkLytNQdFAl4fNaHV,31,2017-03-24
09mWpzpUOSjjvK2iNqEIYn,32,2015-06-22
0HfXGOwYy1JiU0V5UJNSbm,41,2013-12-07
6DN7GcZF1HywzrkGN6Eeqk,46,2013-11-05
6Y8YXaZoHUrtkjLMDUc0Wj,33,2013-04-04
1nnenAgIzIipcodyg879Vx,41,2017-09-22
1W9c669YOTvdVNkp2I5uCr,43,2016-11-04
0JOEEeYmHjGbwPObkSBSXH,37,2012-03-19
5EvkkgB0ifBfqn5i9LNre9,32,2010-12-17
1AKN4ZhJ3pdKQXCS4CNQRT,35,2012-11-06
3A7BsFCUvqRqp0X3uD0CX2,33,2012-10-19
184q45IyX6tKbTNL5zPAwN,43,2017-06-06
5lXgrzp3xcFdYCQXtsS6dG,30,2017-04-28
4TvFPjsTOKR8jZkcO9PXLy,39,2013-05-30
4waze5VNGmC0IQ3nMgl36R,39,2015-11-28
0A9H0uAwdTCWNofsksO2fX,31,2010-01-15
4DwLXVB5zeO75k8HlTFhB6,36,2016-03-18
4r9dBrrwjdwkZntgnji8Rq,36,2017-04-03
6mOXPtswKccKSx5dYmCXAc,39,2015-01-01
3chopONx6vQ8Ky4q5xqtbR,33,2016-05-20
1tkQta2NWqpU3v5JMnwc4y,35,2016-11-18
1TIMPsHk76na9Cst58abP7,34,2012-05-15
4dJ1Z5ZBRm1ZbKjIEsOQZr,35,2013-12-03
7K5tfkdeToVwZaEnEv2atb,40,2016-10-21
0Cymwa426TUFrAFXrnFihA,41,2013-09-12
0QudobQ7BxwPjicypSo6JM,35,2016-02-04
5CyypeOKTQJsDHXSuRvv47,48,2010
4yIQQzoOrlE0vaH4i5nwOa,30,2015-01-20
0EFitK3T7hqin7iGMbpltM,35,2016-09-09
4ai377DNpe0SuMo5qQcKK5,30,2013-08-06
6upTR3RFKR7K20OnHRXDkL,43,2017-05-26
79XjqMCEOc1VJzgQCipw5F,33,2010-11-30
0vBxqUHwetFn5jCwAKX7Uk,37,2015-10-09
2CaMka7yjnxRY4KYlTsk4v,33,2016-08-31
7avQrMgx6JDi4gT1KM15zt,35,2014-09-13
3bLOts2ifuewi6XZ3xS8WF,30,2011-09-27
2LmtQ9lQwaV9D1xRUL80fG,30,2016-01-16
4EHO6nIhB0OCyOY2vQ8yqX,44,2011-03-08
1L9bZ4yd93BVYT3HNR6bMd,41,2017-09-24
6fXNBfGXNT6dtmFKLN3iaI,42,2015-07-22
1OGV2VsLrQcJLV2guHtshz,31,2016-10-26
07zkB4oes2xRdMNWiPdSFZ,31,2013-10-15
3BOmognWH0yJ2V3Iku6xlh,35,2017-02-13
2sMfr7gUZ1qkY8yNC7dBdj,33,2015-04-01
5q6v8oWwur6S6JBZrM6JF2,32,2014-04-14
3gioCmiIcOvqNRWBpMYrr5,31,2016-05-13
0us0wYhTbayCO1CLaY6RSv,30,2015-04-10
5wmTd5OdRC7NSPldED3V9r,30,2017-04-07
1fZREzDZ1jAuPUHHHhH6dN,41,2015-06-09
7mQm3FkDm1MqrZq8jRvvbF,34,2013-05-14
6xjzTdoumUFx2TdxIx8FHG,36,2013-07-08
1lhNch5NkOONvFhRPh8qaj,58,2017-06-02
60wfLADp7JtBrWvDrDlJM0,39,2015-10-30
4JlnpWBZ02nhIV3yfnF3Ny,31,2015-05-18
758dFjOmZ2dwslg94y4nD7,35,2010-01-01
7xSWQZdRZcqq78lN2bAlXW,38,2016-12-02
7ksle1gFTICo9rKw14dvC5,30,2017-09-05
1J6b7W1nSHH7BObK8zIoEY,39,2017-03-31
5ckt4gstaOg1VlCqyLtrLT,30,2015-10-09
3I2hQ3clUWCr3q6n1u6rIl,30,2015-01-09
0bxwH4IfXTXYmpiC2rIfFA,34,2016-01-08
2xSppFiPUTWqZ9cdF6CQnY,32,2017-05-19
5RF7p2E3uuMhGxBm6Qj65K,35,2012-12-20
40Qj07HvYUNUgL1r2iq4xc,39,2012
6tR4OP2sLkYlUgdaz1y9bW,43,2013-01-01
7wyDZ870M3f8kIcWdeEzmi,34,2014-11-22
24xH6aou2of5sYqDhMjkZL,40,2011-03-08
5FGYd2lKYeFHpybmNsa4q7,30,2013-01-22
48weSvWTs8IQAaUUl3Db8r,45,2017-01-06
2s8yPyvpGdijNJGME9oSzi,40,2010
5m3ObpihQKh30swBFTIDmn,47,2016-04-22
0HUncweJW3LTO0YOvOEX4a,39,2017-03-10
1gmqwXoklK4dL9vIJ727hn,30,2010-02-01
5hNY9GQIaQR7MOelvlY0qu,37,2012-01-01
7z6hmY6bZQqua2RfhU0RWh,32,2010-09-01
6zHD8lzUL0SE19xaR0lyzN,40,2017-09-15
2sGDQ4EeMBzUf7r21JyrNV,47,2017-07-28
6jZstKLY9qrlUuysH3auRc,40,2014-05-06
5DkvhcjQTj3TnUBBXKwSQi,44,2015-02-24
2UJwKSBUz6rtW4QLK74kQu,69,2014-11-24
7dkdpDDWp0dCDkGxfdNykk,32,2013-01-02
2mDyf8UWqMGUWRsWVVXDqd,47,2017-10-27
5vyzWF239SMChLFJXOMshW,31,2016-12-14
6Wleak7A98DpzviDaqYrEX,31,2012-12-04
7bFm2hWgVI3djWqJGXvvjq,44,2015-10-23
3X2HGevGe98BMxseRRnJBZ,44,2017-07-28
6tLK4Qq9vZPMeczOkN8n4a,36,2016-05-20
1c46EPnRi9wrhdUUIJTgxT,48,2014-11-20
